CeA_Ctrl	CeA_Mor	dStr_Ctrl	dStr_Mor	NAc_Ctrl	NAc_Mor	ensembl_gene_id	mgi_symbol	SYMBOL	GENENAME
Trpm2	56	48	51	39	69	33	ENSMUSG00000009292	Trpm2	Trpm2	transient receptor potential cation channel, subfamily M, member 2
Cfap410	66	72	59	47	43	65	ENSMUSG00000020284	Cfap410	Cfap410	cilia and flagella associated protein 410
Pfkl	183	162	49	32	65	101	ENSMUSG00000020277	Pfkl	Pfkl	phosphofructokinase, liver, B-type
Gatd3a	40	41	53	26	28	26	ENSMUSG00000053329	Gatd3a	Gatd3a	glutamine amidotransferase like class 1 domain containing 3A
Pwp2	30	40	45	30	11	25	ENSMUSG00000032834	Pwp2	Pwp2	PWP2 periodic tryptophan protein homolog (yeast)
Trappc10	206	206	240	197	191	216	ENSMUSG00000000374	Trappc10	Trappc10	trafficking protein particle complex 10
Agpat3	302	280	296	211	211	243	ENSMUSG00000001211	Agpat3	Agpat3	1-acylglycerol-3-phosphate O-acyltransferase 3
Rrp1	568	533	389	344	460	396	ENSMUSG00000061032	Rrp1	Rrp1	ribosomal RNA processing 1
Cstb	20	23	8	7	18	14	ENSMUSG00000005054	Cstb	Cstb	cystatin B
Pdxk	302	350	305	247	486	496	ENSMUSG00000032788	Pdxk	Pdxk	pyridoxal (pyridoxine, vitamin B6) kinase
Ilvbl	20	12	14	9	15	14	ENSMUSG00000032763	Ilvbl	Ilvbl	ilvB (bacterial acetolactate synthase)-like
Slc1a6	38	11	12	3	18	23	ENSMUSG00000005357	Slc1a6	Slc1a6	solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6
2610008E11Rik	226	171	139	177	179	167	ENSMUSG00000060301	2610008E11Rik	2610008E11Rik	RIKEN cDNA 2610008E11 gene
Mier2	40	26	38	18	22	30	ENSMUSG00000042570	Mier2	Mier2	MIER family member 2
C2cd4c	26	34	9	0	12	3	ENSMUSG00000045912	C2cd4c	C2cd4c	C2 calcium-dependent domain containing 4C
Shc2	47	36	63	38	79	65	ENSMUSG00000020312	Shc2	Shc2	SHC (Src homology 2 domain containing) transforming protein 2
Tpgs1	52	44	28	27	40	24	ENSMUSG00000020308	Tpgs1	Tpgs1	tubulin polyglutamylase complex subunit 1
Cdc34	45	18	36	14	18	18	ENSMUSG00000020307	Cdc34	Cdc34	cell division cycle 34
Bsg	385	349	216	185	375	323	ENSMUSG00000023175	Bsg	Bsg	basigin
Hcn2	92	55	107	125	113	91	ENSMUSG00000020331	Hcn2	Hcn2	hyperpolarization-activated, cyclic nucleotide-gated K+ 2
Polrmt	39	35	42	24	26	46	ENSMUSG00000020329	Polrmt	Polrmt	polymerase (RNA) mitochondrial (DNA directed)
Rnf126	63	56	62	55	47	54	ENSMUSG00000035890	Rnf126	Rnf126	ring finger protein 126
Palm	125	103	141	98	173	93	ENSMUSG00000035863	Palm	Palm	paralemmin
E130317F20Rik	5	17	20	18	14	13	ENSMUSG00000091994	E130317F20Rik	E130317F20Rik	RIKEN cDNA E130317F20 gene
Ptbp1	71	55	125	101	119	77	ENSMUSG00000006498	Ptbp1	Ptbp1	polypyrimidine tract binding protein 1
Plppr3	87	105	66	68	101	113	ENSMUSG00000035835	Plppr3	Plppr3	phospholipid phosphatase related 3
Med16	100	52	60	75	56	59	ENSMUSG00000013833	Med16	Med16	mediator complex subunit 16
Gm24019	2	10	2	2	1	19	ENSMUSG00000119877	Gm24019	Gm24019	predicted gene, 24019
R3hdm4	213	139	228	220	203	165	ENSMUSG00000035781	R3hdm4	R3hdm4	R3H domain containing 4
Arid3a	18	4	15	26	17	5	ENSMUSG00000019564	Arid3a	Arid3a	AT rich interactive domain 3A (BRIGHT-like)
Wdr18	63	60	54	35	64	79	ENSMUSG00000035754	Wdr18	Wdr18	WD repeat domain 18
Tmem259	133	52	120	62	93	106	ENSMUSG00000013858	Tmem259	Tmem259	transmembrane protein 259
Abca7	11	0	18	7	18	10	ENSMUSG00000035722	Abca7	Abca7	ATP-binding cassette, sub-family A (ABC1), member 7
Polr2e	55	72	39	33	23	42	ENSMUSG00000004667	Polr2e	Polr2e	polymerase (RNA) II (DNA directed) polypeptide E
Gpx4	72	51	76	41	62	56	ENSMUSG00000075706	Gpx4	Gpx4	glutathione peroxidase 4
Sbno2	43	13	30	28	25	17	ENSMUSG00000035673	Sbno2	Sbno2	strawberry notch 2
Stk11	31	46	47	48	45	41	ENSMUSG00000003068	Stk11	Stk11	serine/threonine kinase 11
Cbarp	671	654	280	262	451	516	ENSMUSG00000035640	Cbarp	Cbarp	calcium channel, voltage-dependent, beta subunit associated regulatory protein
Atp5d	119	130	91	85	98	126	ENSMUSG00000003072	Atp5d	Atp5d	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit
Midn	40	28	42	51	45	37	ENSMUSG00000035621	Midn	Midn	midnolin
Cirbp	71	60	48	43	77	87	ENSMUSG00000045193	Cirbp	Cirbp	cold inducible RNA binding protein
Efna2	20	15	1	6	17	18	ENSMUSG00000003070	Efna2	Efna2	ephrin A2
Pwwp3a	50	41	58	32	58	35	ENSMUSG00000020156	Pwwp3a	Pwwp3a	PWWP domain containing 3A, DNA repair factor
Ndufs7	183	117	83	93	83	83	ENSMUSG00000020153	Ndufs7	Ndufs7	NADH:ubiquinone oxidoreductase core subunit S7
Dazap1	50	60	73	67	79	57	ENSMUSG00000069565	Dazap1	Dazap1	DAZ associated protein 1
Rps15	215	244	240	217	158	183	ENSMUSG00000063457	Rps15	Rps15	ribosomal protein S15
Apc2	236	248	207	176	272	243	ENSMUSG00000020135	Apc2	Apc2	APC regulator of WNT signaling pathway 2
2310011J03Rik	8	26	7	8	13	14	ENSMUSG00000020133	2310011J03Rik	2310011J03Rik	RIKEN cDNA 2310011J03 gene
Reep6	36	36	11	21	27	20	ENSMUSG00000035504	Reep6	Reep6	receptor accessory protein 6
Plk5	5	2	21	8	10	14	ENSMUSG00000035486	Plk5	Plk5	polo like kinase 5
Mex3d	31	28	16	8	23	18	ENSMUSG00000048696	Mex3d	Mex3d	mex3 RNA binding family member D
Mbd3	67	67	59	60	53	91	ENSMUSG00000035478	Mbd3	Mbd3	methyl-CpG binding domain protein 3
Uqcr11	69	63	34	34	72	65	ENSMUSG00000020163	Uqcr11	Uqcr11	ubiquinol-cytochrome c reductase, complex III subunit XI
Tcf3	17	11	22	15	30	25	ENSMUSG00000020167	Tcf3	Tcf3	transcription factor 3
Rexo1	71	53	78	51	54	31	ENSMUSG00000047417	Rexo1	Rexo1	REX1, RNA exonuclease 1
Klf16	65	42	88	41	59	59	ENSMUSG00000035397	Klf16	Klf16	Kruppel-like factor 16
Abhd17a	33	57	37	51	39	37	ENSMUSG00000003346	Abhd17a	Abhd17a	abhydrolase domain containing 17A
Csnk1g2	58	104	84	78	68	50	ENSMUSG00000003345	Csnk1g2	Csnk1g2	casein kinase 1, gamma 2
Btbd2	41	77	66	42	69	53	ENSMUSG00000003344	Btbd2	Btbd2	BTB (POZ) domain containing 2
Mknk2	17	17	40	22	28	13	ENSMUSG00000020190	Mknk2	Mknk2	MAP kinase-interacting serine/threonine kinase 2
Mob3a	5	15	4	20	18	2	ENSMUSG00000003348	Mob3a	Mob3a	MOB kinase activator 3A
Izumo4	25	15	28	7	24	20	ENSMUSG00000055862	Izumo4	Izumo4	IZUMO family member 4
Ap3d1	483	372	265	264	403	335	ENSMUSG00000020198	Ap3d1	Ap3d1	adaptor-related protein complex 3, delta 1 subunit
Dot1l	86	62	143	165	123	128	ENSMUSG00000061589	Dot1l	Dot1l	DOT1-like, histone H3 methyltransferase (S. cerevisiae)
Plekhj1	31	37	32	11	23	17	ENSMUSG00000035278	Plekhj1	Plekhj1	pleckstrin homology domain containing, family J member 1
Sf3a2	30	34	23	30	48	26	ENSMUSG00000020211	Sf3a2	Sf3a2	splicing factor 3a, subunit 2
Oaz1	59	59	68	53	43	50	ENSMUSG00000035242	Oaz1	Oaz1	ornithine decarboxylase antizyme 1
Lingo3	90	151	275	184	175	110	ENSMUSG00000051067	Lingo3	Lingo3	leucine rich repeat and Ig domain containing 3
Lsm7	17	31	20	7	16	20	ENSMUSG00000035215	Lsm7	Lsm7	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated
Sppl2b	59	32	40	54	38	49	ENSMUSG00000035206	Sppl2b	Sppl2b	signal peptide peptidase like 2B
Timm13	21	15	16	10	19	9	ENSMUSG00000020219	Timm13	Timm13	translocase of inner mitochondrial membrane 13
Lmnb2	19	34	20	5	33	20	ENSMUSG00000062075	Lmnb2	Lmnb2	lamin B2
Gng7	299	293	1102	904	658	467	ENSMUSG00000048240	Gng7	Gng7	guanine nucleotide binding protein (G protein), gamma 7
Diras1	90	78	30	65	99	61	ENSMUSG00000043670	Diras1	Diras1	DIRAS family, GTP-binding RAS-like 1
Slc39a3	63	90	63	33	61	113	ENSMUSG00000046822	Slc39a3	Slc39a3	solute carrier family 39 (zinc transporter), member 3
Sgta	128	146	86	56	117	106	ENSMUSG00000004937	Sgta	Sgta	small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha
Thop1	45	82	36	46	28	63	ENSMUSG00000004929	Thop1	Thop1	thimet oligopeptidase 1
Map2k2	51	40	70	42	65	77	ENSMUSG00000035027	Map2k2	Map2k2	mitogen-activated protein kinase kinase 2
Zbtb7a	161	188	178	180	175	168	ENSMUSG00000035011	Zbtb7a	Zbtb7a	zinc finger and BTB domain containing 7a
Pias4	50	46	57	47	22	43	ENSMUSG00000004934	Pias4	Pias4	protein inhibitor of activated STAT 4
Eef2	882	716	784	704	834	872	ENSMUSG00000034994	Eef2	Eef2	eukaryotic translation elongation factor 2
Dapk3	58	47	45	45	46	55	ENSMUSG00000034974	Dapk3	Dapk3	death-associated protein kinase 3
Atcay	402	347	271	203	358	350	ENSMUSG00000034958	Atcay	Atcay	ataxia, cerebellar, Cayman type
Zfr2	53	45	52	48	53	38	ENSMUSG00000034949	Zfr2	Zfr2	zinc finger RNA binding protein 2
Matk	91	93	100	88	96	69	ENSMUSG00000004933	Matk	Matk	megakaryocyte-associated tyrosine kinase
Mrpl54	14	14	16	9	8	7	ENSMUSG00000034932	Mrpl54	Mrpl54	mitochondrial ribosomal protein L54
Apba3	12	14	10	3	4	7	ENSMUSG00000004931	Apba3	Apba3	amyloid beta (A4) precursor protein-binding, family A, member 3
Pip5k1c	240	232	224	193	205	238	ENSMUSG00000034902	Pip5k1c	Pip5k1c	phosphatidylinositol-4-phosphate 5-kinase, type 1 gamma
Cactin	44	20	22	12	31	26	ENSMUSG00000034889	Cactin	Cactin	cactin, spliceosome C complex subunit
Hmg20b	8	10	6	7	8	13	ENSMUSG00000020232	Hmg20b	Hmg20b	high mobility group 20B
Mfsd12	14	22	27	10	15	26	ENSMUSG00000034854	Mfsd12	Mfsd12	major facilitator superfamily domain containing 12
Fzr1	84	100	43	37	68	85	ENSMUSG00000020235	Fzr1	Fzr1	fizzy and cell division cycle 20 related 1
Nfic	69	50	104	87	61	63	ENSMUSG00000055053	Nfic	Nfic	nuclear factor I/C
Celf5	461	391	455	366	564	446	ENSMUSG00000034818	Celf5	Celf5	CUGBP, Elav-like family member 5
Ncln	45	44	45	37	28	73	ENSMUSG00000020238	Ncln	Ncln	nicalin
Gna11	154	117	87	102	139	138	ENSMUSG00000034781	Gna11	Gna11	guanine nucleotide binding protein, alpha 11
Tle5	210	216	228	200	194	228	ENSMUSG00000054452	Tle5	Tle5	TLE family member 5, transcriptional modulator
Tle2	11	5	12	9	19	4	ENSMUSG00000034771	Tle2	Tle2	transducin-like enhancer of split 2
BC025920	4	14	11	17	18	7	ENSMUSG00000074862	BC025920	BC025920	zinc finger protein pseudogene
Sirt6	14	4	16	11	15	17	ENSMUSG00000034748	Sirt6	Sirt6	sirtuin 6
Ankrd24	17	20	19	19	17	23	ENSMUSG00000054708	Ankrd24	Ankrd24	ankyrin repeat domain 24
Gm10778	13	3	0	13	1	8	ENSMUSG00000096856	Gm10778	Gm10778	predicted gene 10778
Gm3055	15	35	11	6	27	14	ENSMUSG00000094622	Gm3055	Gm3055	predicted gene 3055
Gm32687	4	6	15	5	15	1	ENSMUSG00000112640	Gm32687	Gm32687	predicted gene, 32687
Zfp873	52	43	72	72	48	74	ENSMUSG00000061371	Zfp873	Zfp873	zinc finger protein 873
BC024063	47	26	42	49	40	42	ENSMUSG00000112160	BC024063	BC024063	cDNA sequence BC024063
AU041133	78	98	42	61	98	67	ENSMUSG00000078435	AU041133	AU041133	expressed sequence AU041133
Zfp938	96	73	91	95	104	60	ENSMUSG00000062931	Zfp938	Zfp938	zinc finger protein 938
Gm4924	11	43	44	74	43	24	ENSMUSG00000073427	Gm4924	Gm4924	predicted gene 4924
1190007I07Rik	19	10	5	8	27	9	ENSMUSG00000063320	1190007I07Rik	1190007I07Rik	RIKEN cDNA 1190007I07 gene
Tdg	22	54	62	67	56	35	ENSMUSG00000034674	Tdg	Tdg	thymine DNA glycosylase
Glt8d2	31	17	4	3	43	41	ENSMUSG00000020251	Glt8d2	Glt8d2	glycosyltransferase 8 domain containing 2
Hcfc2	81	110	135	93	161	109	ENSMUSG00000020246	Hcfc2	Hcfc2	host cell factor C2
Nfyb	150	120	114	98	127	142	ENSMUSG00000020248	Nfyb	Nfyb	nuclear transcription factor-Y beta
Txnrd1	136	130	99	106	121	93	ENSMUSG00000020250	Txnrd1	Txnrd1	thioredoxin reductase 1
Eid3	7	2	14	9	6	8	ENSMUSG00000109864	Eid3	Eid3	EP300 interacting inhibitor of differentiation 3
Chst11	220	198	300	218	248	148	ENSMUSG00000034612	Chst11	Chst11	carbohydrate sulfotransferase 11
Slc41a2	94	102	51	41	100	89	ENSMUSG00000034591	Slc41a2	Slc41a2	solute carrier family 41, member 2
Nopchap1	441	417	564	607	575	399	ENSMUSG00000020255	Nopchap1	Nopchap1	NOP protein chaperone 1
Aldh1l2	1	6	8	16	7	12	ENSMUSG00000020256	Aldh1l2	Aldh1l2	aldehyde dehydrogenase 1 family, member L2
Washc4	241	223	186	154	256	209	ENSMUSG00000034560	Washc4	Washc4	WASH complex subunit 4
Appl2	54	31	44	38	57	27	ENSMUSG00000020263	Appl2	Appl2	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2
1500009L16Rik	40	50	15	21	35	23	ENSMUSG00000087651	1500009L16Rik	1500009L16Rik	RIKEN cDNA 1500009L16 gene
Nuak1	120	69	49	39	74	63	ENSMUSG00000020032	Nuak1	Nuak1	NUAK family, SNF1-like kinase, 1
Ckap4	45	44	6	13	31	32	ENSMUSG00000046841	Ckap4	Ckap4	cytoskeleton-associated protein 4
Tcp11l2	62	63	23	25	41	75	ENSMUSG00000020034	Tcp11l2	Tcp11l2	t-complex 11 (mouse) like 2
Polr3b	47	83	67	62	78	37	ENSMUSG00000034453	Polr3b	Polr3b	polymerase (RNA) III (DNA directed) polypeptide B
Rfx4	16	11	50	28	27	6	ENSMUSG00000020037	Rfx4	Rfx4	regulatory factor X, 4 (influences HLA class II expression)
Ric8b	377	348	732	577	391	370	ENSMUSG00000035620	Ric8b	Ric8b	RIC8 guanine nucleotide exchange factor B
Fhl4	12	13	11	8	30	9	ENSMUSG00000050035	Fhl4	Fhl4	four and a half LIM domains 4
Tmem263	289	249	298	293	249	288	ENSMUSG00000060935	Tmem263	Tmem263	transmembrane protein 263
Mterf2	83	58	71	59	86	79	ENSMUSG00000049038	Mterf2	Mterf2	mitochondrial transcription termination factor 2
Cry1	62	62	92	47	75	71	ENSMUSG00000020038	Cry1	Cry1	cryptochrome 1 (photolyase-like)
Btbd11	52	56	25	23	62	55	ENSMUSG00000020042	Btbd11	Btbd11	BTB (POZ) domain containing 11
Pwp1	76	65	65	44	76	67	ENSMUSG00000001785	Pwp1	Pwp1	PWP1 homolog, endonuclein
Prdm4	113	72	114	80	89	59	ENSMUSG00000035529	Prdm4	Prdm4	PR domain containing 4
Rtcb	237	259	135	135	226	127	ENSMUSG00000001783	Rtcb	Rtcb	RNA 2',3'-cyclic phosphate and 5'-OH ligase
Fbxo7	52	67	53	47	64	52	ENSMUSG00000001786	Fbxo7	Fbxo7	F-box protein 7
Syn3	106	160	215	148	179	114	ENSMUSG00000059602	Syn3	Syn3	synapsin III
Timp3	37	39	85	83	60	59	ENSMUSG00000020044	Timp3	Timp3	tissue inhibitor of metalloproteinase 3
Hsp90b1	1613	1295	928	761	1636	1138	ENSMUSG00000020048	Hsp90b1	Hsp90b1	heat shock protein 90, beta (Grp94), member 1
Nt5dc3	139	166	92	65	112	115	ENSMUSG00000054027	Nt5dc3	Nt5dc3	5'-nucleotidase domain containing 3
Ascl1	18	4	7	9	5	0	ENSMUSG00000020052	Ascl1	Ascl1	achaete-scute family bHLH transcription factor 1
Igf1	8	11	15	4	22	23	ENSMUSG00000020053	Igf1	Igf1	insulin-like growth factor 1
Nup37	38	28	36	30	20	12	ENSMUSG00000035351	Nup37	Nup37	nucleoporin 37
Washc3	37	48	34	18	43	35	ENSMUSG00000020056	Washc3	Washc3	WASH complex subunit 3
Gnptab	326	297	253	229	314	246	ENSMUSG00000035311	Gnptab	Gnptab	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits
Chpt1	106	94	177	91	145	141	ENSMUSG00000060002	Chpt1	Chpt1	choline phosphotransferase 1
Arl1	210	212	154	130	204	233	ENSMUSG00000060904	Arl1	Arl1	ADP-ribosylation factor-like 1
Utp20	112	223	160	118	178	146	ENSMUSG00000004356	Utp20	Utp20	UTP20 small subunit processome component
Ano4	109	117	47	67	58	88	ENSMUSG00000035189	Ano4	Ano4	anoctamin 4
Gas2l3	12	17	11	6	4	2	ENSMUSG00000074802	Gas2l3	Gas2l3	growth arrest-specific 2 like 3
Slc17a8	0	0	20	4	60	34	ENSMUSG00000019935	Slc17a8	Slc17a8	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8
Scyl2	217	174	157	146	221	166	ENSMUSG00000069539	Scyl2	Scyl2	SCY1-like 2 (S. cerevisiae)
1500026H17Rik	8	21	2	24	19	17	ENSMUSG00000097383	1500026H17Rik	1500026H17Rik	RIKEN cDNA 1500026H17 gene
Actr6	86	97	78	47	55	72	ENSMUSG00000019948	Actr6	Actr6	ARP6 actin-related protein 6
Uhrf1bp1l	362	302	335	263	336	265	ENSMUSG00000019951	Uhrf1bp1l	Uhrf1bp1l	UHRF1 (ICBP90) binding protein 1-like
Anks1b	999	949	1643	1189	1144	1007	ENSMUSG00000058589	Anks1b	Anks1b	ankyrin repeat and sterile alpha motif domain containing 1B
Apaf1	59	87	74	81	79	77	ENSMUSG00000019979	Apaf1	Apaf1	apoptotic peptidase activating factor 1
Ikbip	25	30	30	29	55	33	ENSMUSG00000019975	Ikbip	Ikbip	IKBKB interacting protein
Slc25a3	594	509	591	523	639	552	ENSMUSG00000061904	Slc25a3	Slc25a3	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3
Gm24119	85	102	64	47	70	50	ENSMUSG00000077167	Gm24119	Gm24119	predicted gene, 24119
Tmpo	175	110	147	140	169	122	ENSMUSG00000019961	Tmpo	Tmpo	thymopoietin
Rmst	22	48	31	7	56	77	ENSMUSG00000112117	Rmst	Rmst	rhabdomyosarcoma 2 associated transcript (non-coding RNA)
Cfap54	68	53	35	57	99	60	ENSMUSG00000020014	Cfap54	Cfap54	cilia and flagella associated protein 54
Cdk17	1029	956	1269	1087	1376	1197	ENSMUSG00000020015	Cdk17	Cdk17	cyclin-dependent kinase 17
Elk3	13	11	8	6	14	1	ENSMUSG00000008398	Elk3	Elk3	ELK3, member of ETS oncogene family
Lta4h	85	57	80	63	77	106	ENSMUSG00000015889	Lta4h	Lta4h	leukotriene A4 hydrolase
Snrpf	17	23	20	15	17	34	ENSMUSG00000020018	Snrpf	Snrpf	small nuclear ribonucleoprotein polypeptide F
Metap2	364	259	249	224	331	192	ENSMUSG00000036112	Metap2	Metap2	methionine aminopeptidase 2
Vezt	583	512	722	510	670	452	ENSMUSG00000036099	Vezt	Vezt	vezatin, adherens junctions transmembrane protein
Fgd6	38	18	25	22	22	6	ENSMUSG00000020021	Fgd6	Fgd6	FYVE, RhoGEF and PH domain containing 6
Nr2c1	55	42	58	62	79	46	ENSMUSG00000005897	Nr2c1	Nr2c1	nuclear receptor subfamily 2, group C, member 1
Ndufa12	103	199	109	128	127	107	ENSMUSG00000020022	Ndufa12	Ndufa12	NADH:ubiquinone oxidoreductase subunit A12
Tmcc3	73	164	85	76	68	96	ENSMUSG00000020023	Tmcc3	Tmcc3	transmembrane and coiled coil domains 3
Cep83	173	126	222	180	217	125	ENSMUSG00000020024	Cep83	Cep83	centrosomal protein 83
Plxnc1	578	450	155	120	557	310	ENSMUSG00000074785	Plxnc1	Plxnc1	plexin C1
Cradd	18	21	11	7	26	20	ENSMUSG00000045867	Cradd	Cradd	CASP2 and RIPK1 domain containing adaptor with death domain
Socs2	51	32	81	56	48	58	ENSMUSG00000020027	Socs2	Socs2	suppressor of cytokine signaling 2
Mrpl42	112	103	96	94	96	71	ENSMUSG00000062981	Mrpl42	Mrpl42	mitochondrial ribosomal protein L42
Ube2n	274	353	245	276	291	294	ENSMUSG00000074781	Ube2n	Ube2n	ubiquitin-conjugating enzyme E2N
Nudt4	59	73	41	72	92	79	ENSMUSG00000020029	Nudt4	Nudt4	nudix (nucleoside diphosphate linked moiety X)-type motif 4
Eea1	300	243	204	205	307	172	ENSMUSG00000036499	Eea1	Eea1	early endosome antigen 1
Btg1	204	199	98	84	178	171	ENSMUSG00000036478	Btg1	Btg1	BTG anti-proliferation factor 1
Gm10754	18	9	99	119	93	32	ENSMUSG00000074776	Gm10754	Gm10754	predicted gene 10754
Atp2b1	3476	3081	7330	5033	3706	2958	ENSMUSG00000019943	Atp2b1	Atp2b1	ATPase, Ca++ transporting, plasma membrane 1
Poc1b	26	29	20	20	23	0	ENSMUSG00000019952	Poc1b	Poc1b	POC1 centriolar protein B
Gm34574	19	1	10	0	0	0	ENSMUSG00000112805	Gm34574	Gm34574	predicted gene, 34574
Dusp6	75	79	81	171	38	52	ENSMUSG00000019960	Dusp6	Dusp6	dual specificity phosphatase 6
Kitl	110	93	186	136	202	225	ENSMUSG00000019966	Kitl	Kitl	kit ligand
Tmtc3	146	222	176	154	158	151	ENSMUSG00000036676	Tmtc3	Tmtc3	transmembrane and tetratricopeptide repeat containing 3
Cep290	220	226	195	185	239	200	ENSMUSG00000019971	Cep290	Cep290	centrosomal protein 290
4930430F08Rik	89	103	86	68	83	65	ENSMUSG00000046567	4930430F08Rik	4930430F08Rik	RIKEN cDNA 4930430F08 gene
Mgat4c	193	116	150	110	204	248	ENSMUSG00000019888	Mgat4c	Mgat4c	MGAT4 family, member C
Nts	131	214	13	24	123	109	ENSMUSG00000019890	Nts	Nts	neurotensin
Lrriq1	15	29	4	12	42	9	ENSMUSG00000019892	Lrriq1	Lrriq1	leucine-rich repeats and IQ motif containing 1
Slc6a15	245	166	189	163	261	161	ENSMUSG00000019894	Slc6a15	Slc6a15	solute carrier family 6 (neurotransmitter transporter), member 15
Tmtc2	27	42	71	35	49	29	ENSMUSG00000036019	Tmtc2	Tmtc2	transmembrane and tetratricopeptide repeat containing 2
Gm15663	48	13	33	14	23	6	ENSMUSG00000085282	Gm15663	Gm15663	predicted gene 15663
Mettl25	53	26	29	29	60	34	ENSMUSG00000036009	Mettl25	Mettl25	methyltransferase like 25
Ccdc59	68	127	80	76	110	85	ENSMUSG00000019897	Ccdc59	Ccdc59	coiled-coil domain containing 59
Ppfia2	820	681	357	317	576	512	ENSMUSG00000053825	Ppfia2	Ppfia2	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2
Lin7a	211	184	139	146	230	177	ENSMUSG00000019906	Lin7a	Lin7a	lin-7 homolog A, crumbs cell polarity complex component
Ppp1r12a	862	758	762	701	859	693	ENSMUSG00000019907	Ppp1r12a	Ppp1r12a	protein phosphatase 1, regulatory subunit 12A
Syt1	5572	4912	3664	3035	5553	4833	ENSMUSG00000035864	Syt1	Syt1	synaptotagmin I
Brcc3dc	5	21	15	33	5	4	ENSMUSG00000112039	Brcc3dc	Gm5136	predicted gene 5136
Nav3	288	308	341	296	478	345	ENSMUSG00000020181	Nav3	Nav3	neuron navigator 3
Zdhhc17	670	554	645	430	713	524	ENSMUSG00000035798	Zdhhc17	Zdhhc17	zinc finger, DHHC domain containing 17
Osbpl8	893	678	1995	1605	1450	1065	ENSMUSG00000020189	Osbpl8	Osbpl8	oxysterol binding protein-like 8
Gm17849	7	6	18	20	15	13	ENSMUSG00000112642	Gm17849	Gm17849	predicted gene, 17849
Bbs10	6	34	39	24	42	23	ENSMUSG00000035759	Bbs10	Bbs10	Bardet-Biedl syndrome 10 (human)
Nap1l1	980	714	679	641	932	748	ENSMUSG00000058799	Nap1l1	Nap1l1	nucleosome assembly protein 1-like 1
Gm25117	394	392	177	144	333	168	ENSMUSG00000087819	Gm25117	Gm25117	predicted gene, 25117
Gm5176	2	9	24	21	41	7	ENSMUSG00000111997	Gm5176	Gm5176	high mobility group box 2 pseudogene
Phlda1	34	23	36	32	70	36	ENSMUSG00000020205	Phlda1	Phlda1	pleckstrin homology like domain, family A, member 1
Krr1	180	165	119	131	165	162	ENSMUSG00000063334	Krr1	Krr1	KRR1, small subunit (SSU) processome component, homolog (yeast)
Kcnc2	360	283	185	133	290	226	ENSMUSG00000035681	Kcnc2	Kcnc2	potassium voltage gated channel, Shaw-related subfamily, member 2
Atxn7l3b	440	449	296	260	382	344	ENSMUSG00000074748	Atxn7l3b	Atxn7l3b	ataxin 7-like 3B
Trhde	169	90	88	36	133	117	ENSMUSG00000050663	Trhde	Trhde	TRH-degrading enzyme
Tbc1d15	191	169	269	193	271	195	ENSMUSG00000020130	Tbc1d15	Tbc1d15	TBC1 domain family, member 15
Rab21	328	295	294	213	302	258	ENSMUSG00000020132	Rab21	Rab21	RAB21, member RAS oncogene family
Tmem19	79	80	105	37	107	77	ENSMUSG00000069520	Tmem19	Tmem19	transmembrane protein 19
Thap2	151	114	134	109	120	106	ENSMUSG00000020137	Thap2	Thap2	THAP domain containing, apoptosis associated protein 2
Zfc3h1	284	293	505	388	409	291	ENSMUSG00000034163	Zfc3h1	Zfc3h1	zinc finger, C3H1-type containing
Lgr5	7	3	65	12	26	13	ENSMUSG00000020140	Lgr5	Lgr5	leucine rich repeat containing G protein coupled receptor 5
Ptprr	259	194	73	88	153	174	ENSMUSG00000020151	Ptprr	Ptprr	protein tyrosine phosphatase, receptor type, R
Ptprb	31	9	10	2	7	10	ENSMUSG00000020154	Ptprb	Ptprb	protein tyrosine phosphatase, receptor type, B
Kcnmb4	44	25	51	24	46	8	ENSMUSG00000054934	Kcnmb4	Kcnmb4	potassium large conductance calcium-activated channel, subfamily M, beta member 4
Cnot2	126	193	178	196	151	129	ENSMUSG00000020166	Cnot2	Cnot2	CCR4-NOT transcription complex, subunit 2
5330438D12Rik	6	16	13	20	31	21	ENSMUSG00000052291	5330438D12Rik	Gm31593	predicted gene, 31593
Rab3ip	46	69	65	67	62	54	ENSMUSG00000064181	Rab3ip	Rab3ip	RAB3A interacting protein
4933412E12Rik	15	8	2	9	24	4	ENSMUSG00000112627	4933412E12Rik	4933412E12Rik	RIKEN cDNA 4933412E12 gene
Cct2	277	286	187	144	189	252	ENSMUSG00000034024	Cct2	Cct2	chaperonin containing Tcp1, subunit 2 (beta)
Frs2	149	168	189	204	227	213	ENSMUSG00000020170	Frs2	Frs2	fibroblast growth factor receptor substrate 2
Yeats4	172	57	49	35	44	48	ENSMUSG00000020171	Yeats4	Yeats4	YEATS domain containing 4
Cpsf6	497	505	702	565	841	519	ENSMUSG00000055531	Cpsf6	Cpsf6	cleavage and polyadenylation specific factor 6
